"gene_symbol","go_id","go_description","p_adjusted"
"Impdh1","GO:0009124","nucleoside monophosphate biosynthetic process",1.67627616974256e-23
"Gmps","GO:0009124","nucleoside monophosphate biosynthetic process",1.67627616974256e-23
"Mgst3","GO:0046394","carboxylic acid biosynthetic process",2.71488656553697e-23
"Gstm4","GO:0046394","carboxylic acid biosynthetic process",2.71488656553697e-23
"Cyp2c68","GO:0046394","carboxylic acid biosynthetic process",2.71488656553697e-23
"Upb1","GO:0046394","carboxylic acid biosynthetic process",2.71488656553697e-23
"Gstm2","GO:0046394","carboxylic acid biosynthetic process",2.71488656553697e-23
"Cyp2c54","GO:0046394","carboxylic acid biosynthetic process",2.71488656553697e-23
"Cyp2c23","GO:0046394","carboxylic acid biosynthetic process",2.71488656553697e-23
"Ces1g","GO:0046394","carboxylic acid biosynthetic process",2.71488656553697e-23
"Gstp2","GO:0046394","carboxylic acid biosynthetic process",2.71488656553697e-23
"Gsto1","GO:0046394","carboxylic acid biosynthetic process",2.71488656553697e-23
"Nme2","GO:0046394","carboxylic acid biosynthetic process",2.71488656553697e-23
"Cyp1a1","GO:0046394","carboxylic acid biosynthetic process",2.71488656553697e-23
"Ces1f","GO:0046394","carboxylic acid biosynthetic process",2.71488656553697e-23
"Gstm1","GO:0046394","carboxylic acid biosynthetic process",2.71488656553697e-23
"Cyp2c67","GO:0046394","carboxylic acid biosynthetic process",2.71488656553697e-23
"Gstp3","GO:0046394","carboxylic acid biosynthetic process",2.71488656553697e-23
"Nme1","GO:0046394","carboxylic acid biosynthetic process",2.71488656553697e-23
"Cyp2c40","GO:0046394","carboxylic acid biosynthetic process",2.71488656553697e-23
"Gstm7","GO:0046394","carboxylic acid biosynthetic process",2.71488656553697e-23
"Dpyd","GO:0046394","carboxylic acid biosynthetic process",2.71488656553697e-23
"Ptgs2","GO:0046394","carboxylic acid biosynthetic process",2.71488656553697e-23
"Ugt1a6a","GO:0046394","carboxylic acid biosynthetic process",2.71488656553697e-23
"Ces1a","GO:0046394","carboxylic acid biosynthetic process",2.71488656553697e-23
"Gstp1","GO:0046394","carboxylic acid biosynthetic process",2.71488656553697e-23
"Hpgds","GO:0046394","carboxylic acid biosynthetic process",2.71488656553697e-23
"Mgst2","GO:0046394","carboxylic acid biosynthetic process",2.71488656553697e-23
"Cyp2c66","GO:0046394","carboxylic acid biosynthetic process",2.71488656553697e-23
"Cyp2c69","GO:0046394","carboxylic acid biosynthetic process",2.71488656553697e-23
"Ces1e","GO:0046394","carboxylic acid biosynthetic process",2.71488656553697e-23
"Cyp2c65","GO:0046394","carboxylic acid biosynthetic process",2.71488656553697e-23
"Adh1","GO:0006067","ethanol metabolic process",3.76771635179655e-23
"Adh5","GO:0006067","ethanol metabolic process",3.76771635179655e-23
"Sult2a8","GO:0006067","ethanol metabolic process",3.76771635179655e-23
"Sult2a4","GO:0006067","ethanol metabolic process",3.76771635179655e-23
"Sult2a3","GO:0006067","ethanol metabolic process",3.76771635179655e-23
"Aldh3b1","GO:0006067","ethanol metabolic process",3.76771635179655e-23
"Sult2a7","GO:0006067","ethanol metabolic process",3.76771635179655e-23
"Sult2a5","GO:0006067","ethanol metabolic process",3.76771635179655e-23
"Adh4","GO:0006067","ethanol metabolic process",3.76771635179655e-23
"Adh7","GO:0006067","ethanol metabolic process",3.76771635179655e-23
"Sult2a6","GO:0006067","ethanol metabolic process",3.76771635179655e-23
